ISO,Expenditure_per_student_secondary,Health_expenditure_per_person,pop2010,GDP2011,Per capita government expenditure on health (PPP int. $),Expenditure_per_student_tertiary,Improved_water_source,Income_per_person,Poverty_headcount_ratio_at_national_poverty_line,Present_value_of_debt,Population with sustainable access to improved sanitation (%) total,Aid_given,Gross national income per capita (PPP international $),Democracy_score,General government expenditure on health as percentage of total expenditure on health,Population annual growth rate (%),Population median age (years),Per capita government expenditure on health at average exchange rate (US$),Private expenditure on health as percentage of total expenditure on health,Healthy life expectancy (HALE) at birth (years) both sexes,Continent,Country,Gold,Silver,Bronze,,health/gm,health/sm,health/bm,,edu/gm,edu/sm,edu/bm,,ImpWater/gm,ImpWater/sm,ImpWater/bm,,Pop/gm,Pop/sm,Pop/bm,,GDP/gm/1x10^9,GDP/sm,GDP/bm,,IncomePP/gm,IncomePP/sm,IncomePP/bm,,Debt/gm,Debt/sm,Debt/bm,,Continent% of gm,Continent% of sm,Continent% of bm
NPL,62,63.17,29959000,18884495628,2,90,185,196,502,10.96,123,1129,1010,5.8,359,2,6,69.5,5.7,60,1,Nepal,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,25.25%,20.39%,20.22%
PRK,117,68.3,24589122,12280000000,11,,2468,3256,7737,15912,85,17.9,,53,,48050,36,16,76.7,5,1,North Korea,4,0,2,,17.075,0,34.15,,0,0,0,,617,0,1234,,6147280.5,0,12294561,,3.07,0,6.14,,814,0,1628,,3978,0,7956,,25.25%,20.39%,20.22%
OMN,97,75.28,2783000,71781535039,17,82,52,55,101,,10,25,19740,2.5,460,1.6,4,16,2.3,12,1,Oman,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,25.25%,20.39%,20.22%
PAK,92,65.01,173593000,211092000000,8,91,2405,2543,1878,73.97,90,1605,2410,2.1,15790,1.8,6,83.6,2,98,1,Pakistan,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,25.25%,20.39%,20.22%
PHL,80,71.34,93261000,224754000000,12,85,4225,4851,1944,76.71,162,4349,3430,3.2,43220,2,6,60.4,3.3,37,1,Philippines,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,25.25%,20.39%,20.22%
QAT,100,75.26,1759000,172982000000,26,100,28,29,27,,41,3,,4.1,690,3.1,3,21.9,4.3,13,1,Qatar,0,0,2,,0,0,37.63,,0,0,50,,0,0,14,,0,0,879500,,0,0,86.491,,0,0,14.5,,0,0,0,,25.25%,20.39%,20.22%
SAU,100,72.49,27448000,576824000000,14,95.7,915,967,372,73.97,15,143,22300,3.4,4235,2.4,4,22.8,3.4,28,1,Saudi Arabia,0,0,1,,0,0,72.49,,0,0,95.7,,0,0,915,,0,0,27448000,,0,0,576.824,,0,0,967,,0,0,73.97,,25.25%,20.39%,20.22%
KOR,,,48875000,1116250000000,6,43.5,516.5,684.5,3226,7158,178,17.9,,85.6,,23708,32,33,0,53,1,South Korea,13,8,7,,0,0,0,,3.3461538462,5.4375,6.2142857143,,39.7307692308,64.5625,73.7857142857,,3759615.38461538,6109375,6982142.85714286,,85.8653846154,139.53125,159.4642857143,,52.6538461538,85.5625,97.7857142857,,550.6153846154,894.75,1022.5714285714,,25.25%,20.39%,20.22%
LKA,98,72,20860000,59172135299,6,79,98,103,223,84.93,48,840,3730,4.1,1245,0.5,10,50.8,4.2,15,1,Sri Lanka,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,25.25%,20.39%,20.22%
SYR,99,,20447000,59834000000,5,93,51,54,316,117.81,,55,4110,4.2,2306,2.7,5,52.4,3.9,16,1,Syria,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,25.25%,20.39%,20.22%
TJK,70,66.47,6879000,6522200291,20,59,73,72,455,41.1,83,70,1560,5,1003,1.4,5,77.4,5,74,1,Tajikistan,0,0,1,,0,0,66.47,,0,0,59,,0,0,73,,0,0,6879000,,0,0,6.522200291,,0,0,72,,0,0,41.1,,25.25%,20.39%,20.22%
THA,98,70.1,69122000,345649000000,4,99,9831,10195,1101,87.67,92,2620,7440,3.5,10459,0.7,12,35.6,3.5,8,1,Thailand,0,2,1,,0,35.05,70.1,,0,49.5,99,,0,4915.5,9831,,0,34561000,69122000,,0,172.8245,345.649,,0,5097.5,10195,,0,43.835,87.67,,25.25%,20.39%,20.22%
TUR,96,71.54,72752000,773091000000,16,96,672,713,3320,65.75,27,726,8410,7.6,23798,1.3,8,28.5,5.6,27,1,Turkey,2,2,1,,35.77,35.77,71.54,,48,48,96,,336,336,672,,36376000,36376000,72752000,,386.5455,386.5455,773.091,,356.5,356.5,713,,32.875,32.875,65.75,,25.25%,20.39%,20.22%
TKM,77,62.97,5042000,24107017544,25,72,76,75,309,27.4,66,96,3990,4.8,703,1.4,6,33.3,4.8,58,1,Turkmenistan,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,25.25%,20.39%,20.22%
ARE,98,78.46,7512000,360245000000,17,100,77,82,201,104.11,3,36,31190,2.6,850,3.5,2,27.1,2.6,9,1,United Arab Emirates,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,25.25%,20.39%,20.22%
UZB,78,67,28228000,45359432355,27,82,325,319,1383,10.96,81,379,2190,5,5194,1.4,6,49.8,4.7,51,1,Uzbekistan,1,0,3,,67,0,22.3333333333,,82,0,27.3333333333,,325,0,108.3333333333,,28228000,0,9409333.33333333,,45.359432355,0,15.119810785,,319,0,106.3333333333,,10.96,0,3.6533333333,,25.25%,20.39%,20.22%
VNM,92,73.94,86928000,123961000000,6,85,6515,6933,6104,35.62,,3334,2310,6,,1.4,8,67.6,6.6,17,1,Vietnam,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,25.25%,20.39%,20.22%
YEM,86,62.1,24053000,33757503322,3,67,367,388,200,65.75,,206,2090,5.1,850,3,4,53.6,4.6,103,1,Yemen,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,25.25%,20.39%,20.22%
ALB,99,76.23,3205000,12959563902,12,96,87,71,226,65.75,16,146,6000,6.5,1035,0.6,13,64.5,6.2,17,2,Albania,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,44.85%,50.00%,48.60%
ARM,96,71.82,3092000,10247788877,37,92,77,75,396,57.53,73,130,4950,5.4,1255,-0.3,14,58.8,4.7,26,2,Armenia,0,1,2,,0,71.82,35.91,,0,92,46,,0,77,38.5,,0,3092000,1546000,,0,10.247788877,5.1238944385,,0,75,37.5,,0,57.53,28.765,,44.85%,50.00%,48.60%
AUT,100,79.66,8390000,418484000000,37,100,453,493,866,123.29,11,295,36040,10.2,4467,0.4,22,23,9.9,5,2,Austria,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,44.85%,50.00%,48.60%
AZE,73,67.33,9054000,63403650746,36,77,103,103,1161,43.84,72,113,5430,3.9,2431,0.6,9,69.1,3.4,93,2,Azerbaijan,2,2,6,,33.665,33.665,11.2216666667,,38.5,38.5,12.8333333333,,51.5,51.5,17.1666666667,,4527000,4527000,1509000,,31.701825373,31.701825373,10.5672751243,,51.5,51.5,17.1666666667,,21.92,21.92,7.3066666667,,44.85%,50.00%,48.60%
BLR,93,68.87,9490000,55136144037,48,100,261,295,2458,90.41,54,436,9700,6.6,4647,-0.5,18,25.1,6.4,9,2,Belarus,2,5,5,,34.435,13.774,13.774,,50,20,20,,130.5,52.2,52.2,,4745000,1898000,1898000,,27.5680720185,11.0272288074,11.0272288074,,147.5,59,59,,45.205,18.082,18.082,,44.85%,50.00%,48.60%
BREL,,79.2,10896000,511533000000,42,,406,353,823,150.69,10,326,33860,9.6,8305,0.3,22,28.9,9.5,5,2,Belgium,0,1,2,,0,79.2,39.6,,0,0,0,,0,406,203,,0,10896000,5448000,,0,511.533,255.7665,,0,353,176.5,,0,150.69,75.345,,44.85%,50.00%,48.60%
BIH,99,74.66,3760000,18088238053,14,97,165,140,452,73.97,54,227,6780,8.8,629,0.3,19,42.8,8.3,17,2,Bosnia and Herzegovina,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,44.85%,50.00%,48.60%
BGR,100,72.52,7534000,53514098360,36.6,99,473,304,1263,79.45,42,506,10270,7.7,6512,-0.7,23,40.2,6.9,13,2,Bulgaria,0,1,1,,0,72.52,72.52,,0,99,99,,0,473,473,,0,7534000,7534000,,0,53.51409836,53.51409836,,0,304,304,,0,79.45,79.45,,44.85%,50.00%,48.60%
HRV,100,75.53,4418000,63850068202,25,100,247,246,799,164.38,23,209,13850,7.4,3230,0.1,22,19.9,7.5,6,2,Croatia,3,1,2,,25.1766666667,75.53,37.765,,33.3333333333,100,50,,82.3333333333,247,123.5,,1472666.66666667,4418000,2209000,,21.2833560673,63.850068202,31.925034101,,82,246,123,,54.7933333333,164.38,82.19,,44.85%,50.00%,48.60%
CYP,100,79.02,659350,24689602446,23,100,18,19,35,128.77,4,25,25060,6,715,1.1,17,55.2,6.3,5,2,Cyprus,0,1,0,,0,79.02,0,,0,100,0,,0,18,0,,0,659350,0,,0,24.689602446,0,,0,19,0,,0,128.77,0,,44.85%,50.00%,48.60%
CZE,99,,10520000,215215000000,36,100,575,533,1106,142.47,,476,20920,7.1,6933,0,20,12.1,6.8,5,2,Czech Republic,4,3,3,,0,0,0,,25,33.3333333333,33.3333333333,,143.75,191.6666666667,191.6666666667,,2630000,3506666.66666667,3506666.66666667,,53.80375,71.7383333333,71.7383333333,,133.25,177.6666666667,177.6666666667,,35.6175,47.49,47.49,,44.85%,50.00%,48.60%
DNK,,78.32,5547000,332677000000,36,100,152,187,342,158.9,7,230,36190,9.1,4530,0.2,22,16,9.5,5,2,Denmark,2,4,3,,39.16,19.58,26.1066666667,,50,25,33.3333333333,,76,38,50.6666666667,,2773500,1386750,1849000,,166.3385,83.16925,110.8923333333,,93.5,46.75,62.3333333333,,79.45,39.725,52.9666666667,,44.85%,50.00%,48.60%
EST,97,72.96,1340000,22184722472,33,100,32,38,266,167.12,36,74,18090,5,1175,-0.3,22,25.8,5,7,2,Estonia,0,1,1,,0,72.96,72.96,,0,100,100,,0,32,32,,0,1340000,1340000,,0,22.184722472,22.184722472,,0,38,38,,0,167.12,167.12,,44.85%,50.00%,48.60%
FIN,100,79.09,5364000,266071000000,33,100,175,138,387,93.15,6,81,33170,7.5,4490,0.3,22,21.5,7.6,4,2,Finland,0,1,2,,0,79.09,39.545,,0,100,50,,0,175,87.5,,0,5364000,2682000,,0,266.071,133.0355,,0,138,69,,0,93.15,46.575,,44.85%,50.00%,48.60%
FRA,,80.5,64895000,2773030000000,34,100,5498,4767,4925,109.59,8,1647,32240,11.1,41374,0.6,21,20.3,11.1,5,2,France,11,11,12,,7.3181818182,7.3181818182,6.7083333333,,9.0909090909,9.0909090909,8.3333333333,,499.8181818182,499.8181818182,458.1666666667,,5899545.45454545,5899545.45454545,5407916.66666667,,252.0936363636,252.0936363636,231.0858333333,,433.3636363636,433.3636363636,397.25,,9.9627272727,9.9627272727,9.1325,,44.85%,50.00%,48.60%
GEO,96,70.86,4452000,14366566609,47,82,253,246,636,90.41,101,225,3880,8.6,1269,-0.9,18,78.5,8.4,33,2,Georgia,1,3,3,,70.86,23.62,23.62,,82,27.3333333333,27.3333333333,,253,84.3333333333,84.3333333333,,4452000,1484000,1484000,,14.366566609,4.7888555363,4.7888555363,,246,82,82,,90.41,30.1366666667,30.1366666667,,44.85%,50.00%,48.60%
DEU,100,79.46,81777000,3570560000000,34,100,3474,2843,10558,123.29,7,2967,32680,10.7,65683,0,25,23.4,10.4,5,2,Germany,11,19,14,,7.2236363636,4.1821052632,5.6757142857,,9.0909090909,5.2631578947,7.1428571429,,315.8181818182,182.8421052632,248.1428571429,,7434272.72727273,4304052.63157895,5841214.28571429,,324.5963636364,187.9242105263,255.04,,258.4545454545,149.6315789474,203.0714285714,,11.2081818182,6.4889473684,8.8064285714,,44.85%,50.00%,48.60%
GRC,,79.18,11316000,298734000000,50,,1166,1265,1151,95.89,6,239,30870,10.1,13438,0.2,23,57.5,9.9,4,2,Greece,0,0,2,,0,0,39.59,,0,0,0,,0,0,583,,0,0,5658000,,0,0,149.367,,0,0,632.5,,0,0,47.945,,44.85%,50.00%,48.60%
HUN,100,72.97,10000000,140029000000,30,99,550,677,1453,123.29,18,551,16970,7.8,4997,-0.3,21,29.2,7.6,8,2,Hungary,8,4,5,,9.12125,18.2425,14.594,,12.375,24.75,19.8,,68.75,137.5,110,,1250000,2500000,2000000,,17.503625,35.00725,28.0058,,84.625,169.25,135.4,,15.41125,30.8225,24.658,,44.85%,50.00%,48.60%
ISL,100,81.43,318000,14059073613,38,100,8,3,24,153.43,3,10,33740,9.5,286,0.9,16,16.9,9.3,3,2,Iceland,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,44.85%,50.00%,48.60%
IRL,,78.61,4475000,217275000000,29,,84,54,290,115.07,9,88,34730,8.2,2414,1.9,15,21.7,7.5,5,2,Ireland,1,1,3,,78.61,78.61,26.2033333333,,0,0,0,,84,84,28,,4475000,4475000,1491666.66666667,,217.275,217.275,72.425,,54,54,18,,115.07,115.07,38.3566666667,,44.85%,50.00%,48.60%
ITA,,80.86,60483000,2194750000000,37,,6804,8267,9850,84.93,7,1186,28970,8.9,37000,0.2,26,22.9,9,4,2,Italy,8,9,11,,10.1075,8.9844444444,7.3509090909,,0,0,0,,850.5,756,618.5454545455,,7560375,6720333.33333333,5498454.54545455,,274.34375,243.8611111111,199.5227272727,,1033.375,918.5555555556,751.5454545455,,10.61625,9.4366666667,7.7209090909,,44.85%,50.00%,48.60%
LVA,82,71.25,2239000,28252498853,31,99,68,57,374,93.15,61,165,14840,6.4,1561,-0.6,22,36.8,6,10,2,Latvia,1,0,1,,71.25,0,71.25,,99,0,99,,68,0,68,,2239000,0,2239000,,28.252498853,0,28.252498853,,57,0,57,,93.15,0,93.15,,44.85%,50.00%,48.60%
LTU,,71.56,3287000,42725404055,40,,88,73,589,106.85,62,256,14550,5.9,2249,-0.5,21,30,6.2,9,2,Lithuania,2,1,2,,35.78,71.56,35.78,,0,0,0,,44,88,44,,1643500,3287000,1643500,,21.3627020275,42.725404055,21.3627020275,,36.5,73,36.5,,53.425,106.85,53.425,,44.85%,50.00%,48.60%
LUX,,79.57,507000,59474583333,27,100,18,14,45,,8,13,60870,7.7,343,1,19,9.4,7.2,4,2,Luxembourg,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,44.85%,50.00%,48.60%
MKD,,,2060000,10165373218,26,,93,86,354,95.89,29,99,7850,7.8,1175,0.1,16,28.4,8.2,19,2,Macedonia,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,44.85%,50.00%,48.60%
MLT,100,79.23,416000,8886572143,39,100,11,10,40,131.51,5,6,20990,8.4,190,0.5,19,22.3,8.3,7,2,Malta,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,44.85%,50.00%,48.60%
MDA,86,68.63,3562000,7000318677,27,92,181,244,447,82.19,133,220,2660,7.5,1521,-1.1,15,43.6,7.8,23,2,Moldova,0,0,2,,0,0,34.315,,0,0,46,,0,0,90.5,,0,0,1781000,,0,0,3.5001593385,,0,0,122,,0,0,41.095,,44.85%,50.00%,48.60%
MNE,,,632000,4550463278,20,,,,,,,,8930,,263,-1.1,18,20.5,6.8,11,2,Montenegro,0,1,0,,0,0,0,,0,0,0,,0,0,0,,0,632000,0,,0,4.550463278,0,,0,0,0,,0,0,0,,44.85%,50.00%,48.60%
NLD,100,79.65,16616000,836257000000,37,100,298,207,1498,142.47,7,307,37940,9.2,7994,0.3,20,18.2,9.3,6,2,Netherlands,6,6,8,,13.275,13.275,9.95625,,16.6666666667,16.6666666667,12.5,,49.6666666667,49.6666666667,37.25,,2769333.33333333,2769333.33333333,2077000,,139.3761666667,139.3761666667,104.532125,,34.5,34.5,25.875,,23.745,23.745,17.80875,,44.85%,50.00%,48.60%
NOR,,80.29,4889000,485803000000,38,100,70,85,381,120.55,6,125,50070,9,4126,0.6,20,16.4,8.7,5,2,Norway,2,1,1,,40.145,80.29,80.29,,50,100,100,,35,70,70,,2444500,4889000,4889000,,242.9015,485.803,485.803,,42.5,85,85,,60.275,120.55,120.55,,44.85%,50.00%,48.60%
POL,,75.15,38184000,514496000000,20,,1045,851,4962,123.29,21,2278,14250,6.2,11881,-0.1,17,30.1,6.2,8,2,Poland,2,2,6,,37.575,37.575,12.525,,0,0,0,,522.5,522.5,174.1666666667,,19092000,19092000,6364000,,257.248,257.248,85.7493333333,,425.5,425.5,141.8333333333,,61.645,61.645,20.5483333333,,44.85%,50.00%,48.60%
PRT,,78.18,10638000,237522000000,34,,434,428,2092,93.15,31,378,19960,10.2,6149,0.5,22,28.2,10,5,2,Portugal,0,1,0,,0,78.18,0,,0,0,0,,0,434,0,,0,10638000,0,,0,237.522,0,,0,428,0,,0,93.15,0,,44.85%,50.00%,48.60%
ROU,89,72.19,21438000,179794000000,19,57,1373,1542,2736,71.23,121,2094,10150,5.5,4360,-0.4,19,29,5.7,18,2,Romania,2,5,2,,36.095,14.438,36.095,,28.5,11.4,28.5,,686.5,274.6,686.5,,10719000,4287600,10719000,,89.897,35.9588,89.897,,771,308.4,771,,35.615,14.246,35.615,,44.85%,50.00%,48.60%
RUS,93,,141750000,1857770000000,43,97,4653,3712,29633,120.55,,7784,12740,5.2,45628,-0.5,17,36.8,5.3,15,2,Russia,24,26,32,,0,0,0,,4.0416666667,3.7307692308,3.03125,,193.875,178.9615384615,145.40625,,5906250,5451923.07692308,4429687.5,,77.4070833333,71.4526923077,58.0553125,,154.6666666667,142.7692307692,116,,5.0229166667,4.6365384615,3.7671875,,44.85%,50.00%,48.60%
SRB,,,7291000,45043430299,20,,,,,,,,9320,,2479,-0.1,19,29,7.6,9,2,Republic of Serbia,1,1,2,,0,0,0,,0,0,0,,0,0,0,,7291000,7291000,3645500,,45.043430299,45.043430299,22.5217151495,,0,0,0,,0,0,0,,44.85%,50.00%,48.60%
SVK,100,74.19,5430000,95994147901,31,100,211,208,664,84.93,,242,17060,7,2441,0,16,26.1,7,9,2,Slovakia,0,1,3,,0,74.19,24.73,,0,100,33.3333333333,,0,211,70.3333333333,,0,5430000,1810000,,0,95.994147901,31.9980493003,,0,208,69.3333333333,,0,84.93,28.31,,44.85%,50.00%,48.60%
SVN,,77.6,2049000,49539271105,24,,93,74,295,41.1,13,79,23970,8.5,1198,0.1,21,27,8.4,4,2,Slovenia,1,1,2,,77.6,77.6,38.8,,0,0,0,,93,93,46.5,,2049000,2049000,1024500,,49.539271105,49.539271105,24.7696355525,,74,74,37,,41.1,41.1,20.55,,44.85%,50.00%,48.60%
ESP,100,80.28,46071000,1490810000000,33,100,2898,3027,5161,93.15,17,739,28200,8.2,23300,1.1,22,27.5,8.1,5,2,Spain,3,10,4,,26.76,8.028,20.07,,33.3333333333,10,25,,966,289.8,724.5,,15357000,4607100,11517750,,496.9366666667,149.081,372.7025,,1009,302.7,756.75,,31.05,9.315,23.2875,,44.85%,50.00%,48.60%
SWE,100,80.75,9378000,538131000000,33,100,348,298,659,128.77,6,249,34310,8.9,7270,0.4,24,18.8,8.9,4,2,Sweden,1,4,3,,80.75,20.1875,26.9166666667,,100,25,33.3333333333,,348,87,116,,9378000,2344500,3126000,,538.131,134.53275,179.377,,298,74.5,99.3333333333,,128.77,32.1925,42.9233333333,,44.85%,50.00%,48.60%
CHE,100,81.44,7826000,635650000000,40,100,378,379,678,164.38,7,108,40840,11.4,3847,0.4,21,39.7,11.3,6,2,Switzerland,2,2,0,,40.72,40.72,0,,50,50,0,,189,189,0,,3913000,3913000,0,,317.825,317.825,0,,189.5,189.5,0,,82.19,82.19,0,,44.85%,50.00%,48.60%
